review	sentiment
Вместо шорт пришла какая-то фигня, ещё и три месяца была в пути	negative
Открыли спор - кофта не пришла. И итоге деньги продавец не вернул.	negative
за 3 месяца продавец так и не отправил товар, и не ответил ни на одно сообщение....	negative
На фото выглядит теплой на самом деле обычная кофта .	negative
Товар что вы мне прислали совсем не похож на оригинал. Короче просто подарила магазину 360 руб	negative
Дырки на рукаве, в остальном очень мягкая и приятна	negative
Товар так и не пришёл, спор не открывала. С продавцом не общалась.	negative
товар не пришел (	negative
Так и не доставлен товар! Заказывала в мае!!!	negative
Товар так и не пришёл, продавец просил подождать, я ждала но когда осталось 20 дней до конца защиты заказа , то я попросила вернуть мне деньги! Этого не произошло, заказ так и не поступил! И деньги не вернули! Не доверяйте! Вас тоже обманут	negative
Это не платье, а скорее удлиненный свитер. Даже в качестве туники коротковат - сзади чуть прикрывает попу, но если чуть наклониться,  то она будет видна. Только для домашней носки с леггинсами, но считаю, что 890 руб. оно не стоит. Швы на плечах сделаны грубо и топорщатся, увеличивая плечи визуально. Ткань вроде бы приятная на ощуп, но если надеть на голое тело без майки, через 5 минут начинает колоться и чесаться (((	negative
I haven't received the order. The seller doesn't contact	negative
не пришло!!!! возмущение без границ!!!! открыв спор обвинили,в лжи!!! отвратительно!!! денежные средства не вернули!!!	negative
это не норка, а какой-то, непонятно чей, очень сильно крашеный мех в черный цвет, присутствует запах, сильно лезит, сиденье в машине всё в шерсти, рукава широковаты по длине всё норм на параметры 93- 83 -106см 170 рост размер L сел хорошо, но у меня плечи узкие... хотя размер xl тоже бы подошёл. доставка курьером, брала за 17200	negative
"тонкий трикотаж,не стоит этих денег....у нас  есть магазины ""всё по 250"" - так там можно лучшее купить..."	negative
"Не пришел товар, деньги не вернули. Открыла спор, продавец ответит что-то типа ""да да,спасибо за понимание"". Товара нет, денег нет. Не советую,не рискуйте."	negative
заказ так и не пришёл.  продавец постоянно просил подождать ещё.  не дождалась. оказалось, что товар даже не был отправлен.  открыла спор, вернули деньги.	negative
Я разочарована, у продавца не верная таблица размеров, обратите на это внимание. На грудь 88 у продавца стоит размер L, что я и заказала, оказалось на 10 см широко в груди. Открыла спор, но денег не вернули	negative
Вообще не получила свой заказ. Прождала более 60 дней. Посылка так и не пришла. Продавец предложил заказать еще раз (!!!), Трек не отслеживался с самого начала. Очень жаль... так хотелось эти резинки.	negative
заказывала L на свой 48. оказалось очень мало. еле надела. очень тонкая. как марля. не советую	negative
Платье так и не пришло,деньги вернули.	negative
Ужасное качество заказала специально больше на размер, дак не скрывает даже живот. Открыла спор и его закрыли не вернув за товар деньги! 	negative
C'est des gros menteur il n'ont jamais envoyé la commande et quand j'ai dit pour le remboursement il sont dit sais pas possible	negative
Очень сильно красят кожу. Вымачивание в уксусе не помогло	negative
все прекрасно,кофтой давольна,подошла по размеру,качество отличное. Быстрая доставка,спасибо продавцу. Рекомендую	negative
"Товар не пришел, продавец обманул. Возвращать деньги и высылать новый отказался.

Не советую."	negative
Качество не очень, низ не подшит, смотрится  стремно. Кроме того торчат нитки, швы какие то перекрученные, даже дрессировка не спасает. Зоя купила, думай теперь что делать с ней, как подшивать и т.д.	negative
Заказывала красный халат,  прислали фиолетовый!!!!  Халат не очень длинный,  чуть ниже колена,  товаром не довольна!	negative
Заказывали зеленого цвета, а пришел черного. Очень плохо господин продавец. Может в этом магазине работают дальтоники?	negative
Товар не пришёл, ждала больше 3х месяцев. Деньги вернули с помощью Ali.	negative
Вобщем лучше не заказывайте, ибо все плохо. Везде дыры швы не дошиты. И еще размер не тот прислали. Еще доставка 2 мес	negative
Пришли бракованные, с широкой полоской по длине, сами короткие, постоянно задираются. На ощупь мягкие, но качество подкачало(((	negative
Качество так себе. Пятна на подкладке. Швы кривые. Пуза мало. Не советую	negative
заказывала ранее такие же лосины черного цвета у этого же продавца в размере L подошли идеально. На этот раз пришел размер XL который мне очень мал! и цвет не соответствует описанию - вместо бежевого пришел золотой! ужасно! спор не смогла открыть потому что после оплаты нечаянно нажала подтвердить получение.	negative
ужасное качество даже для 200р	negative
Ужасно просто!майка пришла с дыркой.ее неинадеть даже и не выйти на улицу!очень разочаровалась!продавец сказал вернёт деньги,но обманул меня и тянет со временем!не заказывайте!	negative
не советую брать,сразу стали рваться,ужасные резинки	negative
как получила,померила и сразу выбросила,что я хотела за эти деньги?!?	negative
Товар не пришёл. Продавец отказывается возвращать деньги.  The goods did not come. The seller refuses to return the money.	negative
Размер указанный в описании не соответствует: размеру 2XXL -по обхвату груди заявлен 125 см,по факту 110 см.Диалог с продавцом не получился.Нахамил.В итоге  испорченные нервы и настроение.Будьте внимательны при заказе,Доставка тоже оказалась платной.	negative
Ничего не пришло. Пыталась открыть спор, так ничего и не вышло. Отправили посылку не сразу, трек не отслеживается. Хорошо хоть не много денег стоит, не рекомендую связываться.	negative
товар так и не пришел, трек не отслеживался	negative
Товар шёл 4 месяца. Подали на спор. Ждём свои потраченные деньги за товар.	negative
К сожалению, товар так и не получила, но продавец оказался общительным и сразу вернул деньги	negative
заказала 24.11, пришла 16.01...еще и маломерка	negative
"Возврат через Спор. Люблю эту марку, несколько рубашек уже куплено у других Продавцов, но этот товарищ вообще не вывез. 5XL превратились в XL, заказанного цвета внезапно не оказалось в наличии, запросил смену расцветки, вся эта лабуда со смайликами и ""я приказал складу напрячься для вашего заказа"", и - вишенка! - вторая замена расцветки. Заказ отменила, но Продавец не только не подтвердил это действие (""укажите в причинах ДРУГОЕ, а не ОТСУТСТВУЕТ ЗАКАЗАННОЕ""), но ещё и ОТПРАВИЛ посылку, что было видно на сайте отслеживания. Посылка была отправлена  ДО того, как диалог скатился до состояния ""калоприемник переполнен"", на два дня раньше. Фу так делать, Dioufond Official Store!"	negative
тянется как кишка во все стороны, брак в виде отверстий	negative
Кофта не очень хорошего качества, при вскрытие пакета вышел запах дешёвого Китая, края низа кофты не обработаны	negative
очень долго шёл заказ и вообще  он не того качества как описано	negative
куртка пришла быстро,с фотографией совпадает только цвет,на фото видно что внутри подкладка и швы закрыты кантом, в реальном изделии забыли пришить подкладку, прислали половину куртки! она очень широкая, карманы в боковых швах очень неудобно! халтура! не верьте фотографии на модели!!!	negative
Штаны идеально подошли по размеру. Кофта короткая, никак не на рост 165 см., как было указано в таблице размеров, у меня рост 160см.,на рукаве поперечный шов, из-за которого рукав в ширину вообще не тянется. Т.е. кофта на выброс. До этого заказывала такую же пижаму в другом магазине, это же размер, все подошло идеально. Я высылаю фото, на котором видно и шов и длину кофты, сравните с длиной показанной вами на картинке.	negative
Размер совершенно не соответствует, XL-на 44 российский! Застежка оторвана,...	negative
упаковано хорошо и пришло довольно быстро , НО ....ужасный материал ,нитки торчат ,рукава короткие .Недовольна покупкой!!	negative
заказ не пришёл и не отслеживается.	negative
заказ делала 13.10. пришло за месяц в Ростовскую обл. Очень внимательно читала отзывы, сравнивала и сопоставляла и в итоге - не угадала. заказывала 27 , мои параметры об 98 от 67, мало!! Нужно было заказывать 28 или даже 29. Длинна подходит хорошо.	negative
заказ не отслеживался, и так и не пришел. может конечно вина службы доставки	negative
настоятельно не рекомендую покупать эти водолазки. я такую ужасную синтетику ещё с Али не получала. всякое бывало, но это вообще из ряда вон. для примера скажу что после стирки эта кофта высохла за 7 минут, совсем как носки капроновые. она ужасно колется и прозрачная. про пошив одно слово- ужас, строчки пляшут, скроено неровно, повсюду нитки. может раньше продавец и присылал хорошие вещи, то теперь нет. не выбрасывайте деньги, пусть и небольшие. доставка .была быстрой. плюс могу поставить за то что быстро согласились вернуть деньги по спору	negative
Я его не получила. Вышел спор. В одном заказе я оплатила 2 костюма, а мне отправили 1 костюм, но оплату продавец пытался получить за 2 товара. Возник спор и решить его удалось только с AliExpress/ Поэтому продавцу за ловкачество- самый низкий балл. Я Не Рекомендую Продавца. Это очень плохо, когда тебя пытаются обмануть.	negative
Товар не пришёл	negative
Ужасное качество, синтетика, просвечивает и колется, крой не правильный, у горловины морщит все, обработка на плечах и рукавах не соответствует фото, торчат нитки. На моделях совсем другая кофта. Хорошо, что часть денег вернуть обещали. Я это не надену, только выбросить. Очень жаль, когда заказывала, было только 1 реальное фото, а потом уже начали писать недовольные покупатели, если б знала, не покупала бы. В ней просто не комфортно даже находиться, все чешется.	negative
после стирки, принт стал желтого цвета(((( и черные ушли стали зелеными(((	negative
Шапка налезла только на 4 летнюю девочку.Шла долго.не довольны- очень маленькая	negative
"Очень долго решалась на покупку и наконец-то выбрала хорошего продавца по рейтингу. Заказала себе юбочку и ждала когда она придёт. Пришла она в срок и в симпатичной упаковочке. Но! Когда я ее раскрыла поняла что мне пришёл какой-то китайский размер. Она не то что короткая, я со своим стандартным для европейской девушки ростом почувствовала себя великаном! Плюс ткань очень тонкая и прозрачная и подюбник узкий и короткий! Сидеть не возможно! Но я думала продавец пойдёт мне навстречу и вернёт хотя бы 50% от суммы чтобы я смогла попробовать свою ""удачу"" в другом магазине. Спорт решили в мою пользу, но деньги так и не пришли. На мои письма не отвечает. Я очень НЕ РЕКОМЕНДУЮ этого продавца. Не тратье время и деньги."	negative
очень долго шла футболка, качество на троечку, просвечивает.	negative
заказ шёл два месяца и не дошел	negative
"Прислали рубашку отвратительного качества и непонятного цвета. Швы все вылезшие, белые нитки,строчки расползаются, выглядит убого и очень неаккуратно. 

Про цвет уже и говорить нечего - вместо того сине-голубого цвета, который они показали на фото товара, прислали рубашку, покрытую черно-серо-грязными пятнами с ярко-зелеными вкраплениями. Надеть стыдно...

Оценка товара - самая низшая."	negative
заказ очень огорчил! не покупайте это платье. своих денег не стоит. я б его вообще не покупала, если б знала, каким оно окажется. во первых - цвет. не соответствует . вообще не синий. во вторых - качество. ужасное. липлет, электрезуется. носить невозможно. открыла спор - половины суммы вернули. но я все равно расстроена	negative
Такое чувство, что эту куртку, которая выглядит как фуфайка, сшили за одну ночь. Цвет вообще не соответствует. Не рекомендую покупать эту куртку ни в этом магазине, ни в другом.	negative
 Товар пришёл с заводским браком . Продавец на встречу не пошёл 	negative
заказ так и не пришёл	negative
Посылка провалялась 2 месяца на почте китая! И продавцу было абсолютно насрать где она и что она и мои какие то сообщения игнорировал! После чего я соответственно открыла спор? Время уже истекало . И что вы думаете этот уродец наверное решил пошевелится и вуаля она быстренько появилась !!! Не советую !	negative
Размерная сетка не соответствует! Заказала xl, бюст - 89 см, вместо 98!! Качество хорошее, но он маленький...  Нет ни одной бирки. Продавец ни на одно сообщение не ответил! Спасибо алиэкспресс, что вернули деньги по спору!	negative
Посылка так и не пришла, виновата почта России	negative
фуфло,ткань как марля ,нитки торчат ,Не стоит этих денег	negative
Несоответствие размера, xxl только на 46 р. , розовое пятно на самом видном месте, но за эти деньги , наверно, лучшего не приходится ждать)))	negative
Не заказывайте бурда, лучше купить дороже платье но оно будет нормальное 	negative
плохо! качество материала ужасное! не похоже на то, что на фотке вообще! сидит плохо + велика	negative
товар не пришёл. продавец деньги не вернул. не советую этого продавца	negative
Товар не отлеживался, доставка заняла 2 месяца, пришлось открывать спор. В итоге шарф пришёл, но пришёл не тот цвет. Продавец только посочувствовал и ничего не предложил. 	negative
пришла с дырой	negative
Плохое качество,сидят не очень за счет этих полос,которые перетягивают,материал тонкий, точно не порекомендую это хлам!!	negative
"Изделие выполнено не профессионально, небрежно.Допущены спущенные петли и пропуски при сшивании деталей, карманы косые. Пряжа использовалась в ""одну"" нитку, поэтому кардиган не держит форму, тонкий, узор не объемный.  Иметь такую вещь в гардеробе не порекомендую.  Спасибо Алиэкспрессу, что вернули деньги."	negative
Продавец - мошенник! Вместо кофточки отправил какой то брелок! Первый раз с таким столкнулась на этом сайте.  Нельзя у него ничего заказывать!	negative
Прислали не тот цвет, спор закрыли, деньги не вернули! Не советую продавца и товар, продают лишь бы что то отправить, очень не давольно!!!	negative
качество оставляет желать лучшего. Рукава как будто рваные	negative
Джинсы шли почти месяц. Оказались, коротковаты на рост 162, пахнут. В общем, заказ не очень понравился.	negative
Прошло два месяца, но заказ так и не пришёл. Ни заказа, ни денег. И возврата, так понимаю не будет. За  6343 руб. Я могла бы не плохой пуховик в России купить!!!! Осталась очень недовольной!!!! Больше ничего не буду заказывать у этого продавца,  жаль фирма хорошая. Продавец на связь не выходил. 	negative
Заказал товар у данного продавца 01.06.2017.  По истечению срока доставки продавец не вернул средства,  а постоянно просил подождать товар, потом стал писать, что я виноват сам, что заказал доставку эконом, прошло 120 дней,  посылка не пришла, продавец возращать средства отказался. Открыл спор, продавец мне предложил сумму возврата 0.00 $. Тем самым подтвердил, что мошенник. Решением Алиэкспресс деньги вернулись. Не рекомендую данный магазин, продавец лжец и мошенник, не прислал товар и хотел кинуть на деньги. Обходите стороной данный магазин!!!!	negative
Качество товара отвратительное! торчат белые нитки и непрокрашенные клочки меха... в споре продавец вернул только 10% и быстро закрыл спор	negative
товар так и не пришёл, продавец продливал 4 месяца. Деньги возвращать не хотел, открыла спор. Деньги вернули.	negative
Ужасная юбка пришла!!! Она тонкая, ужасно мятая и воняет!!! Сверху не прошита, разошлись нитки... просто кошмар!!! Как можно отправлять людом такой товар!!!!!!!!	negative
Девочки! Не покупайте этот костюм! Просто потраченные в пустую деньги. Тонкий, а штаны это вообще кошмар! 	negative
"заказ не пришел. Продавец отправил на неверный адрес. Спустя 1,5 месяца с момента оплаты, начали звонить и уточнять время удобное для доставки. Причем звонили по 4 раза на дню и каждый раз удивлялись, что я не живу в указанном продавцом городе. Исправляли данные м все по-новой. Две недели звонили!!!!  Связалась с продавцов, конечно, попросила вмешаться . Прислал ответ, что проверит адрес и исправит. И тишинааа... а доставка звонииит. В общем истек срок защиты и я открыла спор о возврате денег. Продавец не вникая абсолютно, предложил набраться терпения и ждать товар!!!!  Бессовестно. Его косяк,  а он еще и дураком прикинулся... ждите... Спасибо Али, деньги вернули. 
заказывала в этом магазине уже и была оочень довольна качеством одежды. Эта ситуация оставила неприятный осадок. Продавец не порядочный. Врядли буду заказывать здесь снова."	negative
Ужасное качество, кружево твёрдое и колючее, на плечи не ложится, сожалею, что заказала эту вещь, носить невозможно, настолько колючее кружево, это подделка, не советую к покупке, продавец не вернул даже 50 процентов суммы, не порядочный, кофту эту только выбросить, носить невозможно	negative
Юбка слишком объемная, но это ладно. Шов почему-то расположен снаружи, тоесть ткань расположена наизнанку. Придется перешивать.	negative
"нормально: тонкая ткань, похоже на длинную футболку, на рост 160 нормально

плохо: очень некачественный шов сзади, смотрится как будто в кучу :с жаль"	negative
долго  шла  11 11 17 закази  сегодня  10 01 18	negative
"Большая в талии, еще и в бедрах полнит.
Очень расстроилась:("	negative
1.цвет не соответствует описанию!али одобрил возврат части средств,прошёл месяц.Денег нет!	negative
Заказала шорты 29.07, товар не пришёл. Спор открывала дважды, первый раз продавец попросил закрыть и немного подождать. Ситуация не изменилась, поэтому открыла спор снова. Деньги вернули очень неохотно. 	negative
линяют безобразно. три раза замачивала в порошке, простирала на машинке и все равно линяют. Размер l и xl ничем не отличаются, на русский 46 натягиваются с трудом.	negative
размер не соответствует вообще- 7XL подходит только на 52р	negative
Не понравился. Очень тонкая ткань, просвечивается. И фасон не совсем такой как на фото. Коротковат и выглядит мешковато.	negative
не пришел товар	negative
легинсы отвратительные .Пришли во первых не тем цветом что я хотела .Во вторых они не тянутся .легинсы должны тянуться а они как из тряпки сделаны .Очень маленькие .На ребенка лет 13-и.Вобщем не рекомендую!!!	negative
Размер не соответствует заявленному. С боку торчит пух, из за дефекта ткани. Открыла спор. Продавец его закрыл и деньги не вернул. Общаюсь с службой поддержки по этому поводу. 	negative
"Заказала 22.11.17 пришло 10.01.2018. 
Отправили в течении суток. 
Ослеживался полностью. Ожидания не оправдались. Повелась на отзывы и количество заказов. Упакован был нормально, пакет в пакете. Снимала видео при распаковке и не прогадала. Товар пришел с дыркой на самом видном месте. чуть выше груди.ещё и поползла дырка. Написала продавцу - ни ответа ни привета.  Пришлось открыть спор - вернули часть денег. Товар поврежден, я заказывала целый. 
Надеюсь продавец будет более внимателен и товары с дефектом отправлять не будет."	negative
Платье оказалось маломеркой. На 42-44 в S нельзя даже пошевелить руками, резинка проходит прям после груди, из-за чего сразу создается эффект отсутствия талии и фигура бочонок. Разочарована....	negative
Пижама в пятнах, в затяжках. Продавец не отреагировал на это.	negative
the package arrived fast, but the size was so small	negative
у этого продавца ранее заказывала два раза, но эта посылка так и не пришла, деньги вернули, но постоянно спорили. продавец писал , что посылка получена, присылал скриншоты и тд., но номера в скриншотах были старых посылок.	negative
Свитер пришел быстро, но на вороте брак, на самом видном месте, разъехались нитки сильно, вид весь испорчен. Не рекомендую продавца, как можно отправлять товар в таком виде, не проверяют видно когда отправляют. Очень расстроена, это впервые за всю историю моих покупок на сайте.	negative
товар так и не пришёл, заказала 29.06 уже пятый месяц продавец обещает что посылка придет обязательно, деньги не вернули трэк не отслеживался	negative
блузка, к сожалению, ко мне так и не пришла	negative
Мало. По поводу размера советовалась с продавцом и все равно очень мало, не соответствует таблице. Первый промах в этом магазине и продавец никак не реагирует на сообщения. Обидно	negative
Свитшот так и не пришёл, продавец долго делал мозги, говорил отправит новый заказ, но так и не отправил... продавца не советую никому!	negative
Свитер по качеству неплохой, но размер s  соответствует скорее xl. На фото изящная талия, в действительности свитер более подходит для беременных. Вместо синего прислали черный. Воротник неудобный, его надо подворачивать вовнутрь, а не наружу, из-за этого очень не комфортно шее.	negative
восторженого отзыва, увы, написать не могу(  у лосин. абсолютно не соответствует размерная сетка! на рост 165см вес 62 ОТ 75см ОБ 99см брала XXXL , в объёме они огромные, а вот длина на 5 см короче заявленной. После спора вернули 300рублей и занесли в чёрный список))))))	negative
ужасный. не берите, отличается от фото, ужасный запах,колится что-то,просто ужас.	negative
ужасный костюм,ткань тонкая ,резинки  на штанах все растянуты,начала спор в итоге закрыли  и даже не оповестили.не советую никому его брать.	negative
заказ так и не получила. заказывала 6 мая, но так и не дождалась. Около 3,5  месяцев ждала, продавец продлевал защиту в одностороннем порядке. Открыла спор. Деньги вернули сразу.	negative
"футболку  не
получила, отвратительная работа почты"	negative
Ни товара ни отслеживание ни возрат денег .	negative
Увы и ах, но оценить товар не представилось возможным. По сей день получить не смогли, так как он НЕТ. Как то так,вот!	negative
дурацкая куртка! Не соответствует описанию! Она не зимняя и даже не осенняя! Это  ветровка из тоненькой плащевки, к которой зачем то пришили мех. Перед тем как заказать спросила у продавца на какую температуру куртка, он сказал на - 10 со свитером. Я бы на него её одела со свитером и отправила к нам в Россию в -10 градусов, посмотрела бы на него. Придется отдать в отелье отпороть мех и носить летом. Буду открывать спор чтобы вернуть половину стоимости и на эти деньги оплатить отелье чтобы отпороть мех и носить летом. По моему это будет справедливо.	negative
Какой ещё отзыв!? Мой размер XS рост 157 и вес 42 и даже при этом всем свитер мал, везде короткий, чуть живот прикрывает, но стоит только повернуться или сделать шаги, весь пупок наружу! Ужас, а не обслуживание. Продавец обманщик ужасный, да легче отдать деньги прохожему, чем заказать у этого ужасного человека вещи! Спор открыла на возврат средств, а его закрыли. За то, что описание товара и размер вообще никак не совпадает с реальностью ещё я и не права!!?? Да таких продавцов надо сразу выкидывать и запрещать им продавать вещи! Мишуру свою себе лучше впихивай, чем людям за деньги продавай! Фуфуфу такому продавцу! 	negative
Платье очень тонкое и прозрачное , в нем никуда не пойдёшь 	negative
"ОЙ, девочки. Не покупайте в этом магазине.

ОБМАНЩИКИ. 

Купила штаны, выбрала размер по рекомендации продавца.

шли очень долго.

В итоге, большие на два размера.

Продавец предложил возврат или обмен с моей оплатой отправки.

Это как вообще, я купила, мне не подошло и я еще должна оплатить возврат.

Более того, продавец еще предложил дополнительную скидку на будущую покупку за оставление положительного отзыва!!!! 

Думайте и читайте отзывы."	negative
УЖАС!!!ТАКИЕ БОЛЬШИЕ,ТРЕБУЮ ВОЗВРАТА!!!	negative
"Поставщик -обманщик.Товар не о
тправил. Заказ был закрыт без моего ведома. Ни денег ни товара. Так поступать подло....Больше никогда здесь заказывать не буду и вам не советую"	negative
заказала 22.04 сегодня 1.09 товар не пришел.	negative
товар не пришел продавец отказался вернуть деньги .хорошо что алиэкспресс вернул деньги	negative
Кофта плохого кач-ва,швы расходятся,рукава коротковатые.Вообщем такая себе.	negative
рубашка,классная шла месяц,но маленькая,очень огорчилась, 5хl на 56 мал	negative
Ужасный продавец. Не советую ничего заказывать. Товар не пришёл. Деньги не вернули.	negative
Закрыли спор и не вернули деньги, так дела не делаются, не советую магазин!	negative
Заказ не пришёл вообще. Деньги вернули. 	negative
"Костюм очень сильно маломерит, очень сильно! Носить не возможно! Мой рост 174, мой размер ""м""- штаны очень короткие и рукава на кофте тоже! Я конечно не ожидала и очень расстроена .. "	negative
Очень ужасное качество и размер не соответствует заявленному!	negative
пишут что теплые а на деле ооооочень тонкие	negative
Товар не пришёл,ждала три месяца, сейчас жду деньги.	negative
Заказ так и не пришел,продавец не отвечает.Не советую продавца.Мошенник	negative
Ужасно, один рукав узкий, да вообще весь крой ужасный, и в кривь и в кось... носить не буду	negative
Это пиздец товарищи!курта то хорошая ,но как оказалось мой размер M,мне велик размера на 3.не знаю как так получилось,может бирки перепутали и лейбл,я не знаю...,но в конечном итоге продавец не копейки не возместил,до последнего тянул со спором,нехотя отвечал на Сообщения.Спор закрыли по истечении времени.Ужасное обслуживание и поход к клиенту!P.S. :куртку продала,но остался осадок...	negative
заказ оооочень долго шел, так и не дошел!!! 3 раза продливали срок, в итоге открыли спор , деньги вернули через неделю, хоть что то радует!!!	negative
Рукава были порваны с двух сторон. 	negative
если честно качество оставляет желать лучшего,хотя и цена наверное такая!!фото нет так как  и не успела одеть стрелки пошли	negative
Ужасный товар. Подмышками все весит	negative
ну свитер так себе. похож на дешовую водолазку. бусинки все отпываютя	negative
"Заказала 4XL в итоге на два размера меньше, чем в вашей размерной сетке, у вас для это размера указаны  мерки, по ним подбирала индекс размера, во общем советую вам подкорректировать, чтоб показания мерок соответствовали сути. Да, качество очень хорошее. Но слишком огромная разница между размерами заявленными и по факту.

У этого продавца больше не буду заказывать, нет четкости в действиях и бардак с размерами. Да, и рукава, не прям не реально короткие и во обще все мерки по их таблице не соответствуют реальности. надсмехательство, как будто он скопировал таблицу мерок и не думая вставил себе на страницу."	negative
юбка пришла ваще не та,что заказывала,цвет другой, шорт нет, короткая ппц (на какой ваще рост она сделана?)	negative
Трек не отслеживался ни на одном из предложенных продавцом сайтах. Товар не доехал. И в дополнение ко всему не смогла открыть спор, при заполнение бланка спора, когда нажимала товар не пришёл, то заполнение закрывалось и было написано- по нашим данным товар был доставлен. Потеряла деньги. Очень неприятно.	negative
